Region	Month	For-Sale Property Type	Average Monthly Rent	Average Rent YoY	Monthly mortgage, 5% down	Monthly mortgage, 5% down YoY	Monthly mortgage, 20% down	Monthly mortgage, 20% down YoY	Median sale price	Median sale price YoY
Anaheim, CA	February 2021	All Residential	$3,020		$3,225		$2,715		$825,000	10.0%
Anaheim, CA	February 2021	Condo/Co-op	$3,020		$2,115		$1,781		$541,000	7.9%
Anaheim, CA	February 2021	Multi-Family (2-4 Unit)	$3,020		$5,535		$4,661		$1,416,000	34.0%
Anaheim, CA	February 2021	Single Family Residential	$3,020		$3,811		$3,209		$975,000	12.1%
Anaheim, CA	February 2021	Townhouse	$3,020		$2,576		$2,169		$659,000	15.0%
Anaheim, CA	March 2021	All Residential	$3,008		$3,439		$2,896		$850,000	13.1%
Anaheim, CA	March 2021	Condo/Co-op	$3,008		$2,213		$1,864		$547,000	8.3%
Anaheim, CA	March 2021	Multi-Family (2-4 Unit)	$3,008		$5,483		$4,617		$1,355,000	18.9%
Anaheim, CA	March 2021	Single Family Residential	$3,008		$4,067		$3,424		$1,005,000	15.3%
Anaheim, CA	March 2021	Townhouse	$3,008		$2,590		$2,181		$640,000	10.3%
Anaheim, CA	April 2021	All Residential	$3,052		$3,612		$3,042		$895,000	20.3%
Anaheim, CA	April 2021	Condo/Co-op	$3,052		$2,261		$1,904		$560,250	17.5%
Anaheim, CA	April 2021	Multi-Family (2-4 Unit)	$3,052		$5,166		$4,350		$1,280,000	-6.9%
Anaheim, CA	April 2021	Single Family Residential	$3,052		$4,339		$3,654		$1,075,000	25.1%
Anaheim, CA	April 2021	Townhouse	$3,052		$2,636		$2,219		$653,000	8.8%
Anaheim, CA	May 2021	All Residential	$3,101		$3,586		$3,020		$900,000	23.3%
Anaheim, CA	May 2021	Condo/Co-op	$3,101		$2,291		$1,929		$575,000	23.7%
Anaheim, CA	May 2021	Multi-Family (2-4 Unit)	$3,101		$6,077		$5,117		$1,525,000	14.8%
Anaheim, CA	May 2021	Single Family Residential	$3,101		$4,302		$3,622		$1,079,500	30.8%
Anaheim, CA	May 2021	Townhouse	$3,101		$2,783		$2,344		$698,500	23.3%
Anaheim, CA	June 2021	All Residential	$3,188		$3,635		$3,061		$910,000	19.7%
Anaheim, CA	June 2021	Condo/Co-op	$3,188		$2,197		$1,850		$550,000	5.8%
Anaheim, CA	June 2021	Multi-Family (2-4 Unit)	$3,188		$6,172		$5,198		$1,545,000	35.9%
Anaheim, CA	June 2021	Single Family Residential	$3,188		$4,434		$3,734		$1,110,000	29.2%
Anaheim, CA	June 2021	Townhouse	$3,188		$2,717		$2,288		$680,000	18.3%
Anaheim, CA	July 2021	All Residential	$3,276		$3,566		$3,003		$905,250	19.1%
Anaheim, CA	July 2021	Condo/Co-op	$3,276		$2,265		$1,907		$575,000	12.7%
Anaheim, CA	July 2021	Multi-Family (2-4 Unit)	$3,276		$5,908		$4,976		$1,500,000	25.2%
Anaheim, CA	July 2021	Single Family Residential	$3,276		$4,234		$3,566		$1,075,000	22.9%
Anaheim, CA	July 2021	Townhouse	$3,276		$2,757		$2,322		$700,000	19.7%
Anaheim, CA	August 2021	All Residential	$3,343		$3,551		$2,990		$905,000	13.7%
Anaheim, CA	August 2021	Condo/Co-op	$3,343		$2,339		$1,969		$596,000	15.2%
Anaheim, CA	August 2021	Multi-Family (2-4 Unit)	$3,343		$5,954		$5,014		$1,517,500	5.4%
Anaheim, CA	August 2021	Single Family Residential	$3,343		$4,261		$3,588		$1,086,000	17.4%
Anaheim, CA	August 2021	Townhouse	$3,343		$2,747		$2,313		$700,000	23.2%
Anaheim, CA	September 2021	All Residential	$3,397		$3,559		$2,997		$900,000	15.4%
Anaheim, CA	September 2021	Condo/Co-op	$3,397		$2,313		$1,948		$585,000	14.7%
Anaheim, CA	September 2021	Multi-Family (2-4 Unit)	$3,397		$6,538		$5,506		$1,653,438	30.5%
Anaheim, CA	September 2021	Single Family Residential	$3,397		$4,271		$3,596		$1,080,000	19.3%
Anaheim, CA	September 2021	Townhouse	$3,397		$2,788		$2,348		$705,000	12.8%
Anaheim, CA	October 2021	All Residential	$3,415		$3,718		$3,131		$920,000	15.7%
Anaheim, CA	October 2021	Condo/Co-op	$3,415		$2,344		$1,974		$580,000	11.5%
Anaheim, CA	October 2021	Multi-Family (2-4 Unit)	$3,415		$5,779		$4,866		$1,430,000	10.0%
Anaheim, CA	October 2021	Single Family Residential	$3,415		$4,445		$3,743		$1,100,000	20.6%
Anaheim, CA	October 2021	Townhouse	$3,415		$2,869		$2,416		$710,000	19.0%
Anaheim, CA	November 2021	All Residential	$3,422		$3,762		$3,168		$931,000	17.3%
